title,abstract,IPC
Method for manufacturing a polishing pad,"A method for manufacturing a polishing pad for a hand tool having a working element performing an orbital, random orbital, and/or a rotational movement, the polishing pad having attached layers including: a resilient damping layer, an adhesive layer for connection to a corresponding layer located at a bottom surface of the working element, and a polishing layer including microfiber for polishing a surface of a work piece. The method includes the steps of: providing a casting mold having a recess corresponding to form of the polishing pad and a lid for closing the recess; placing the adhesive layer into the recess; pouring the resilient material for the damping layer into the recess on top of the adhesive layer; placing the polishing layer on the resilient material; closing the recess with the lid; and manufacturing the polishing pad under external heat supply until the resilient material is cured.",B
Machine control program creating device,"A program includes a parameter numeric value and a parameter code and a parameter name that are associated with the parameter numeric value. A dialog box information creation processing unit (43) recognizes the parameter code and the parameter name, which are included in the program, as a parameter item, and creates dialog box information from the recognized parameter code and parameter name and the associated parameter numeric value. The parameter numeric value within the created dialog box information is editable on a dialog box display screen (31). When the parameter numeric value is updated, a process of changing the corresponding parameter numeric value in the program to the updated parameter numeric value is executed.",G
Turbine disk fabrication with in situ material property variation,A method of fabricating a functionally graded turbine engine component is disclosed and includes the step of depositing layers of powder onto a base and solidifying/fusing each layer with a first directed energy beam to define a component. The method further includes varying a process parameter between deposited layers to define different material properties within the component. The method also proposes surface enhancement approach that can be used after depositing each layer to locally customize the material properties. The method also proposes machining the different internal surfaces to achieve the proper surface finishing required.,B
Welding system and device with configurable personal computer user interface,"The invention relates to a welding system. A welding system (10) includes a welding power supply (12) having a user interface (22) disposed thereon and a welding controller (20) disposed therein, and the welding power supply (12) is adapted to generate a welding power output for a welding operation. The welding system (10) further comprises a personal computer (28) having a control circuit (30) disposed therein, and the personal computer (28) is removably engaged with the welding power supply (12) by means of a docking structure (3). When the personal computer (28) is butted in the docking mechanism (32), the personal computer (28) can be used for receiving the input of the operator, and the control circuit (30) is communicated with the welding controller (20) to coordinate the control of the welding operation according to the input of the operator.",B
Weld parameter interface,"A system and method for determining settings or parameters for a welding-type power source are provided. By presenting an operator with an interface that is positioned along the path of a weld cable and configured to input weld characteristics, an operator is not required to determine electrical parameters for setting a welding-type power source output at the power source. The interface is presented to the operator at a remote welding-type device, such as a wire feeder, a weld robot, a torch, or the like. From the operator-specified weld characteristics, the system and method determine appropriate settings for the power source. In some embodiments, the system and method may automatically set the power source accordingly.",B
Method and apparatus for eliminating cut taper,Methods and apparatus for a material cutting system are provided. The system has a table for receiving a work piece. A cutting head cuts the work piece on the table and includes a positioning apparatus. The positioning apparatus moves the cutting head relative to the work piece at an angle relative to a planar surface of the work piece. The material cutting system also includes a computerized numeric controller (CNC) controlling the positioning apparatus. The CNC references a table of values within application software to find a material value and a work piece thickness value within the table to determine the angle from the perpendicular to produce a kerf edge that is formed at a particular angle to the work piece planar surface.,B
Spindle unit for turning and milling machines,"A spindle unit for machine tools that includes a working spindle rotationally bearing-mounted in axially spaced spindle bearings in a spindle case, and an electric driving motor. The working spindle includes at its head side a clamping device for a tool and at its rear side a non-rotating ring cylinder for activating said clamping device via a rotating tie rod, and rotational bushing for supplying said tool with cooling and/or lubricating agents through a hydraulic conduit extending longitudinally through said working spindle. At least a segment of the non-rotating ring cylinder may be received in the rear end portion of said working spindle.",B
"Process for complete cladding of metal parts of aircraft turbojets, and complete protection tool for implementing the process","A process for cladding a metal part of an aircraft turbojet, including a plurality of metal portions, using a nozzle for emitting a laser beam, the process including positioning the metal part to be cladded on a turntable; positioning a cover on the turntable; positioning the nozzle in an aperture present in the cover; introducing an inert gas under the cover; and cladding a first portion of the metal part by carrying out operations of: spraying metal powders; emitting the laser beam; and moving the nozzle relative to the first metal portion.",B
"Groove-forming method, control device for machine tool and tool path generating device","A fluting method for forming a flute in a workpiece while the workpiece is moved relative to a rotating tool by the combination of a rotating feed shaft with other feed shafts, the method comprising a machining process of relatively moving the rotating tool on a tool path that runs along the direction in which the flute extends and machining the workpiece using a rotating tool with a diameter that is smaller than the width of the flute. The machining process changes the relative position of the rotating tool with respect to the workpiece and performs machining multiple times so that the rotating tool makes internal contact with a circle that has the width of the flute being formed in the workpiece as the diameter.",A
Portable saw assembly,"A portable saw assembly for use in making square cuts in metal structural components. The portable saw assembly includes a clamping system to hold a work piece in a fixed position with respect to the rotating saw blade and the saw blade is constrained for movement toward and away from the work piece along a specific prescribed path that assures that the saw blade will encounter and then cut the work piece at a right angle with respect to the longitudinal axis of the work piece. Thus, the portable saw assembly can be located on site of the construction and yet can be readily and easily used to cut the structural component along a square cut to facilitate the assembly of the ultimate structure. The clamping system includes clamping inserts to accommodate different sizes and geometric shapes of work pieces while still assuring a square cut thereof.",B
Machine tool,"A machine tool is disclosed. A magneto-pneumatic striking mechanism has a primary actuator arranged around an axis of movement and includes a first magnetic coil and a second magnetic coil. The striking mechanism has, on the axis of movement within the magnetic coils, a striker and a die. Furthermore, the striking mechanism has an air spring acting on the striker in a direction of impact. The air spring may be entirely or partially within the first magnetic coil. The air spring has a ventilation opening that is open to the environment if the striker is less than 10% of its stroke away from the die, and otherwise the ventilation opening is closed. An exchange of air with the environment is therefore only possible when the striker is near the die or is near the impact position.",B
"Chuck body, machine center, and method for gripping a work object to be processed","A chuck body includes a base, a fixed gripper finger, a cylinder mount, a slide, and a movable gripper finger. The base includes a planar member. The fixed gripper finger is fixedly provided on the planar member at a position spaced from a longitudinal end of the planar member. The cylinder mount is mounted on the planar member, and includes a cylinder and a linear actuator operably engaging the cylinder to linearly move the cylinder in a longitudinal direction of the planar member toward and away from the fixed gripper finger. The slide is secured to a distal end of the cylinder and is integrally movable with the cylinder. The movable gripper finger is secured to the slide and positioned to cooperate with the fixed gripper finger to grip an associated work object when moved toward the fixed gripper finger by the linear actuator.",B
"Arc welding apparatus, arc welding system, and arc welding method","An arc welding apparatus includes: a welding-condition acquirer configured to acquire a welding condition; a heat-input calculator configured to calculate a required heat input corresponding to the welding condition; a frequency setter configured to set a smaller frequency for a short circuit condition and an arc condition corresponding to an increase in the required heat input; and a driver configured to repeatedly perform a process at the frequency, the process including advancing and retreating a welding consumable with respect to a workpiece to generate the short circuit condition and the arc condition.",B
Power tool system,"A power tool system includes at least one power tool which has at least one workpiece support unit that is configured to support a workpiece during machining, and also includes at least one machining tool device which extends through a workpiece support surface of the workpiece support unit in at least one operating state. The machining tool device includes at least one cutting strand that is configured to be driven in circulation. A ratio of a maximum height of the workpiece support unit to a maximum cutting depth of the machining tool device is less than 4.1.",B
Power tool system,"A power tool system includes at least one power tool separation device and at least one portable power tool. The power tool separation device includes at least one cutting unit and at least one guide unit which forms a closed system at least together with the cutting unit. The portable power tool includes a motor unit configured to be coupled to the cutting unit of the power tool separation device. At least in the mounted state, a longitudinal axis of the motor unit extends at least essentially perpendicular to the longitudinal axis of the guide unit.",B
Handheld machine tool having a spindle-locking device,"In a handheld machine tool having a tool housing, in which a drive motor is situated for driving a drive element equipped with at least one clamping surface, to which a spindle-locking device equipped with a blocking element and at least one spindle cylinder is assigned, the at least one spindle cylinder being able to be clamped in a spindle-lock operation of the spindle-locking device between the at least one clamping surface and the blocking element to prevent the drive element from rotating relative to the tool housing, wherein a positioning element associated with the spindle locking device is situated at least in sections on the at least one clamping surface, the positioning element being situated at least partially in the region between the at least one spindle cylinder and the at least one clamping surface.",B
Circular saw bench including a work piece feeding apparatus,"The invention relates to a machine-tool, especially a circular saw bench. The machine-tool has a clamping device that can be moved with the work piece in an advancing direction and which is guided at a certain height in relation to the workbench. The clamping device is used to support the work piece, in a carrying manner, in the region of the clamping device, in relation to the workbench.",B
Management system,"Guide system for portable machine tools (12a), in particular hand-held machine tool linear guide system, with at least one guide device (14a; 14b; 14c) which can be fixed to a portable machine tool (12a), the guide device (14a; 14b; 14c) can be arranged in at least one operating state on a side of a support unit (52a) of the portable machine tool (12a) facing away from a machine tool housing (56a) of the portable machine tool (12a), with at least one forced guidance unit (16a; 16b; 16c) with which the The guide device (14a; 14b; 14c) can be positively connected to positively guide the portable machine tool (12a), and with at least one position fixing unit (18a; 18b; 18c) to fix a position of the guide device (14a; 14b; 14c) on the forced guidance unit (16a; 16b; 16c), the position fixing unit (18a; 18b; 18c) at least one fastening unit (20a; 20b; 20c) to a detachable Fixing the position fixing unit (18a; 18b; 18c) on the guide device (14a; 14b; 14c), the position fixing unit (18a; 18b; 18c) after a connection between the fastening unit (20a; 20b; 20c) and the guide device (14a; 14b; 14c) can be removed as a whole from the guide device (14a; 14b; 14c), characterized in that the fastening unit (20a; 20b; 20c) has at least one coupling element (22a, 24a; 22b; 22c, 24c), by means of which the position fixing unit (18a; 18b; 18c) can be fastened to the guide device (14a; 14b; 14c) in a form-fitting and / or force-fitting manner, the fastening unit (20a; 20b; 20c) at least one coupling element (22a , 24a; 22b; 22c, 24c), which cooperates with a counter-coupling element (26a, 28a; 26b; 26c, 28c) of the guide device (14a; 14b; 14c) to fasten the position fixing unit (18a; 18b; 18c).",B
Systems and methods for pairing of wireless control devices with a welding power supply,"Embodiments described herein include wireless control of a welding power supply via portable electronic devices. In particular, operating parameters and statuses of the welding power supply may be modified by the portable electronic device, as well as be displayed on the portable electronic device. For example, in certain embodiments, the welding power supply may be an engine-driven welding power supply, and the portable electronic device may be configured to start and/or stop an engine of the engine-driven welding power supply. A pairing procedure may be used to pair the welding power supply and the portable electronic device in a wireless communication network. Furthermore, in certain embodiments, a method of prioritization of control between a control panel of the welding power supply and the portable electronic device may be implemented.",B
Case for a communication device,"Some embodiments disclosed herein relate to a case for a communication device, having two or more portions movable with respect to each other. A first case portion may cover a particular component or area of the communication device. Accessories or auxiliary structures may be available for use with the particular component, and may be configured to attach to or be used with a communication device housing of a particular size or shape. The first case portion may be moved relative to a second case portion, thereby exposing the component or area of the communication device for use with the accessory. Additional embodiments disclosed herein related to modular components that may be used with cases in order to provide various accessories and features, such as mounts, flashes, batteries, and the like.",B
Method for locating mobile magnetic objects presented before a network of magnetometers,"A method for locating mobile objects by identifying, on the basis of the objects before a network of magnetometers, a supplementary equation. The method includes connecting, by means of a relationship of equality, a first variable from a current system of equations to a term, the term being a predefined relationship between one or more other variables from the current system of equations or a constant numerical value. The method also includes replacing, in the current system of equations, the first variable with the term to which it is equal to obtain a new system of equations in which the number of variables for which the value needs to be estimated is smaller than in the current system of equations. The method further includes using the new system of equations instead in order to estimate the position/orientation/amplitude of a magnetic moment of one of the magnetic objects.",G
Tool,"A tool, in particular a plunge-cut saw blade, includes a saw blade that has at least one main body and at least one working part. The working part has at least one working edge with saw teeth and is connected integrally to the main body along a straight connecting edge. The working edge includes a curved and/or polygon-like formation thereon.",B
Connection device,"According to one aspect of the present invention there is provided an adjustable mechanism for connecting two or more shafts, including at least a first shaft having an external surface with an outer diameter and a second shaft which is hollow at a first end, wherein a spring is anchored to the first end of the second shaft, the spring having an inner diameter of similar dimensions to the outer diameter of the first shaft, the spring configured such that when a force is applied to the spring its inner diameter is greater than the outer diameter of the first shaft so that the second shaft can move over the first shaft to a desired position relative to the first shaft, and when the force is no longer applied to the spring it is biased to return to its original inner diameter to bear against the external surface of the first shaft.",A
Encoder with accuracy correction function,"An encoder ( 1) having a body to be measured (30) and a measuring body (10) includes an analog-digital converter (21) converting, to a digital signal, a sinusoidal analog signal generated by a detection unit (11) and has different phases, a storage unit (22) storing correction data for aperiodic error components among periodic and aperiodic error components included in errors of position data, an aperiodic error correction unit (23) correcting the aperiodic error components among errors in the position data by using the correction data, and a periodic error correction unit (24) correcting the periodic error components among the errors in the position data.",B
hand tool with spindle locking device,"The invention relates to a hand tool which has a tool housing in the tool housing is provided with a driving motor for driving element (120) driving at least one clamping surface (236); main shaft locking device (250) to said driving element is equipped with locking piece (256) and at least one main shaft roller (254), wherein said at least one main roller (254) is capable of locking operation of the main shaft of the main shaft locking device (250) is clamped between the at least one clamping surface (236) and the lock piece (256); so as to prevent the drive element (120) relative to the tool housing to rotate, the main shaft locking device (250) has a loading element (220), the loading structure for, taking the pre-given force towards the direction of said at least one clamping surface (236) loading the at least one main shaft roller (254).",B
Numerical controller temporarily stopping for a program call and numerical control method thereof,"A numerical controller analyzes a program with a command program analysis unit, and determines a macro call or a sub program call with a macro call or sub program call determination unit. When a program stop determination unit determines that the program is to be stopped, the program stop determination unit commands a program stop requesting unit to output a program stop request to the command program analysis unit and an interpolation processing unit, thereby stopping the program.",G
Weld bank data structures for welding applications,"A data structure for weld programs associates configuration data for a welding system with a plurality of weld programs and weld sequence data. The data structure allows the welding system to be configured for a particular part, operator, or stage in a welding process, and to be easily reconfigured when the part, operator, or stage changes, providing improved efficiency and flexibility in operation.",B
Power tool system,"A power tool system comprises (i) at least one power tool, in particular a circular saw, having at least one tool support unit for supporting a tool during machining and at least one displaceably mounted tool guiding unit, and (ii) at least one power tool separation device which is arranged on the tool guiding unit. The power tool separation device comprises at least one cutting unit and at least one guide unit for guiding the cutting unit.",B
METHOD OF MANUFACTURING AN ARTICLE,"A method of manufacturing an article comprising: (a) performing an additive manufacturing process (110) to form an article (20) in an initial state, the article (20) comprising mounting features (18) and being supported during the additive manufacturing process (110) by support structures (23); and (b) performing a second manufacturing process to transform the article (20) into a second state, which second manufacturing process is a subtractive process comprising: (i) mounting (130), via the mounting features (18) formed during the additive manufacturing process (110), the article (20) in a holding device (25) of a machine for operating on the article (20), with the support structures (23) or at least remnants thereof remaining on the article (20), and (ii) with the article (20) so mounted in the holding device (25), processing (140) at least one feature (6, 14) on a surface of the article (20) on which the support structures (23) were provided to remove material on the at least one feature (6, 14) provided by the support structures (23).",A
Systems and methods for providing location services for a welding power supply,"Embodiments described herein include wireless control of a welding power supply via portable electronic devices, such as dedicated original equipment manufacturer (OEM) welding remote devices, cellular radio telephones, satellite radio telephones, laptops computers, tablet computers, and so forth. In particular, operating parameters and statuses of the welding power supply may be modified by the portable electronic device, as well as be displayed on the portable electronic device. A pairing procedure may be used to pair the welding power supply and the portable electronic device in a wireless communication network. Furthermore, in certain embodiments, a method of providing location services for the welding power supply includes utilizing location data for the portable electronic device controlling the welding power supply as an approximation for the location of the welding power supply.",B
Tissue-stabilization method for medical procedures,"A method and apparatus for designing and fabricating a pantomesh. The pantomesh includes a plurality of pantomesh elements each including a pairs of links connected to one another by a revolute joint at points between their ends. Each of a plurality of the pantomesh elements is connected using spherical joints to a plurality of neighboring pantomesh elements, wherein a first line that extends along one side of a first pantomesh element forms a first variable angle with a second line that extends along an opposite side of the first pantomesh element. In some embodiments, at least some of the pantomesh elements of the pantomesh are not isosceles trapezoidal elements. In some embodiments, the pantomesh is used to compress breast tissue during an MRI procedure. In some embodiments, the pantomesh is connected to one or more actuators that facilitate remote control of the amount of compression provided.",A
Cutting machine and incorporated handling devices,"A cutting device for a machine tool, suitable for mounting on the spindle support structure of a machine tool for processing and cutting materials, incorporates suckers able to cause the device to adhere to and be fixed to the materials being machined. Further, a cutting head having a protection device with incorporated suckers, a cutting spindle having a protection device with incorporated suckers and a machine for machining the materials, having a cutting spindle incorporating suckers.",B
PROCESS FOR THE MANUFACTURE OF A CUTTING LINK OF A CHAIN SAW FOR A SAWING SPLITTING APPARATUS,"The invention relates to a method for producing a cutting unit segment of a cutting unit (12) of a machine tool separating device, comprising at least one cutter support element (16) and at least one cutter element (18). In at least one step, the cutter element (18) is molded on the cutter support element (16) by means of a drawing process in an at least partially staggered manner relative to an outer surface (20) of the cutter support element (16).",B
Methods and apparatus for construction of machine tools,"Cement or other liquid-like material fills the hollow tubes of a machine tool under construction. The machine tool structures are held rigidly against a fixture while the substance dries. The machine tool so constructed is relatively lightweight and rigid, and obviates the need for precision machining of large portions of the apparatus.",B
Apparatus and method for analysing the condition of a machine having a rotating part,"An apparatus for analyzing the condition of a machine having a rotating part, includes:   a first sensor for generating an analogue electric measurement signal; an analogue-to-digital converter for sampling the analogue electric measurement signal at an initial sampling frequency to generate a digital measurement data signal in response to the received analogue electric measurement signal; a device for generating a position signal having a sequence of position signal values for indicating momentary rotational positions of the rotating part; and a speed value generator for recording a time sequence of the position signal values such that there are angular distances and corresponding durations between at least three consecutive position signals, wherein           the speed value generator establishes at least two momentary speed values based on the angular distances and corresponding durations, and further momentary speed values for the rotating part are established by interpolation between the two momentary speed values.",G
Bearing device,"A bearing device of a portable power tool, in particular a router, has at least one main body unit. The main body unit is formed as a corner guiding unit and has a bearing surface and a lead-through opening. The bearing surface is configured to bear on a workpiece. The lead-through opening is configured to receive an insert tool configured to perform work on a workpiece.",B
Power tool gear device,"A power tool gear device has at least one first and one second gear stage, and a switching element which may be moved by an operator using an actuating element. The switching element at least partially surrounds at least one gear stage in at least one operating position along a circumferential direction and is configured to switch between a first and a second operating position. The switching element includes at least one first component and one second component.",B
Spindle condition detection device for machine tool,"A spindle condition detection device for a machine tool includes: bearing load detecting means for detecting a load on a bearing that rotatably supports a spindle of a machine tool; and present usage ratio calculating means for calculating, based on the load detected by the bearing load detecting means, a present usage ratio that is a ratio of usage of the bearing with respect to a prescribed operating life of the bearing, which is achieved over a period until a present moment.",B
WIRELESS COMMUNICATION NETWORK FOR CONTROL OF INDUSTRIAL EQUIPMENT IN HARSH ENVIRONMENTS,"In certain embodiments, a system includes a master node device. The master node device includes communication circuitry configured to facilitate communication with a welding power supply unit via a long-range communication link, and to facilitate wireless communication with one or more welding-related devices via a short-range wireless communication network.",B
Laser alignment system for saw,"A power saw includes a bevel member and a cutting assembly pivotably connected to the bevel member. The cutting assembly includes a blade, a blade guard at least partially covering the blade, and at least one machined cutting assembly surface. A laser alignment device is connected to the cutting assembly. The laser alignment device includes a laser body fixed to a slideable carriage having a machined carriage surface that directly engages the machined cutting assembly surface. The slideable carriage is configured to move relative to the machined cutting assembly surface with substantially only one degree of freedom defined by an axis of translation.",B
Cutting device for transdermal and orally dissolvable films,"The invention relates to methods and an apparatus for cutting planar substrates charged with pharmaceutically active agents. In particular, the planar substrates comprise transdermal systems or orally dissolvable films.",A
"METHOD, SYSTEM AND APPARATUS FOR MACHINING GEAR WHEELS","A method for machining a gearwheel by means of stock removal using a numerical-control machine tool with at least five machining axes comprises the steps of defining theoretical prefinishing surfaces and theoretical finishing surfaces of the gearwheel; calculating a line of intersection between the theoretical prefimshing surface and finishing surface; using as a real prefinishing surface the theoretical prefmishing surface and as a real finishing surface for each tooth the part of the theoretical finishing surface situated between the tip of the tooth and the said intersection line; operating the machine so as to perform a first gearwheel machining operation in order to form the said real prefinishing surface and then operating the machine so as to perform a second gearwheel macliining operation in order to form the said real fimshing surface. Also described are an apparatus for producing commands and a machining system (10) which comprises a machine tool with at least five axes, data input means and calculation and processing and command units.",B
Compensating chuck,"A compensating chuck for concentrically clamping workpieces. The chuck has a drive unit having two pairs of entrainment members, wherein the entrainment members are preferably slidingly mounted, are respectively movable in paired relationship, and are so coupled to a respective one of the main jaws that a relative movement of a respective pair causes a synchronous movement of adjacent main jaws and that both a relative movement relative to each other with respectively different movement components and also a synchronous movement of the adjacent entrainment members in the same direction respectively causes a relative movement of adjacent main jaws.",B
Machine tool,"A machine tool includes a movement device, which has a first feed shaft and a second feed shaft that mutually intersect, and a plurality of tools, which are driven by the movement device and respective blade edges of which are staggered stepwise. The blade edges of the tools are aligned with the second axis due to the inclination of the tools as a unit. The machine tool is capable of executing center level adjustment of a plurality of tools mounted on a tool post against a workpiece having a larger diameter, and is also capable of reducing wasted time in non-cutting operation via equal stroke lengths of the tools.",B
virtual testing and inspection of a virtual weldment,"An arc welding simulation, for the purpose of training, arc welding simulation provides virtual destructive of the virtual weldment and non-destructive testing and inspection of the simulation. virtual test simulation using a virtual reality welding simulator system (e.g., a virtual reality arc welding (VRAW) system) created on the virtual weldment. virtual test simulation can be performed on the ""pre-prepared"" (i.e., predefined) virtual welding piece, or using virtual weldments created by using a virtual reality welding simulator system. Generally, virtual test can use virtual reality welding simulator system (e.g., a virtual reality arc welding (VRAW) system), and virtual inspection may be used independent virtual weldment inspection (VWI) system or using a virtual reality welding simulator system (e.g., a virtual reality arc welding (VRAW) system). However, improving according to specific embodiments of the invention, virtual testing can also be performed on the independent VWI system.",G
Device forming a workpiece clamp,"A device forming a clamping pad includes a body ( 1) presenting a first face (1a) to be secured by suction to a worktable (T) and a second face (1b) to be secured by suction to a workpiece (P). The body (1) contains elements for generating suction, which elements are linked to the first face (1a) to be secured to the worktable (T) and to the second face (1b) to be secured to a workpiece (P). The device is applicable to double-sided clamping of workpieces (P) with a view to treating them or to working on them.",B
TOOL MAGAZINE FOR TOOLS OF A MACHINE TOOL，MECHANICAL ARRANGEMENT HAVING SUCH A TOOL MAGAZINE AND METHOD FOR ADMINISTERING TOOLS ON SUCH A MECHANICAL ARRANGEMENT,"The tool magazine 21 for the tool 15 of the machine tool 3 processing the workpiece, in particular the metal sheet 2, comprises a magazine unit 12 close to the station and a magazine unit 22 away from the station. Includes. The magazine unit 22 away from the station has a permanent tool carrier 23 and a temporary tool carrier 27. The permanent tool carrier 23 is permanently accessible to the tool handling device 24. The temporary tool carrier 27 is in this case temporarily accessible to the same tool handling device 24 in addition to the permanent tool carrier 23. The mechanical device 1 for processing the workpiece, in particular the metal sheet 2, comprises a machine tool 3 having a machining station 8 and a tool magazine 21 of this type. In order to manage the tool 15 in the mechanical device 1 mentioned, the tool 15 is between the magazine unit 12 close to the station and the permanent tool carrier 23 of the magazine unit 22 away from the station and And/or between the stationary tool carrier 27 of the magazine unit 12 close to the station and the magazine unit 22 away from the station and/or the station and permanent tool carrier 23 of the magazine unit 22 away from the station. It is transferred between the temporary tool carriers 27 of the magazine unit 22 away from.  ",B
Sawguide pressure feed speed control systems and methods,"A sawmill feedspeed control system having a force sensor operatively coupled to a sawguide of a sawblade, the output of the force sensor being processed and supplied to a motion controller and driver for reducing or increasing feed velocity of a workpiece so as to prevent overfeed or underfeed, while minimizing deviations of the blade from a straight cut and maximizing production throughput.",B
Controlled motion system having a magnetic flux bridge joining linear motor sections,A linear controlled motion system comprises a track formed from one or more track sections and having at least one mover mounted to the track and effective for receiving articles at one location and transporting the articles to another location. The system includes at least one magnetic linear motion motor for providing a magnetic field effective for moving each mover in a controlled motion along the track and a magnetic flux bridge for reducing in the magnetic flux that reduces the efficiency or interferes with the operation of the controlled motion system.,B
Apparatus and method for providing feedback force and machine tool system,"An apparatus for providing a feedback force includes a calculating unit and a force feedback displacement controller. The calculating unit receives relative position information of a first object and a second object and geometric information of the first object and the second object. If the first object and the second object are not in contact, the calculating unit calculates a force feedback value based on the relative position information and the geometric information. The force feedback displacement controller outputs a displacement command, and receives the force feedback value. The displacement command allows the first object to move with respect to the second object. The force feedback displacement controller includes a displacement unit that generates the displacement command based on an operation of a user, and a force feedback unit that provides a feedback force to the displacement unit based on the force feedback value.",B
