title,abstract,IPC
"Process for complete cladding of metal parts of aircraft turbojets, and complete protection tool for implementing the process","A process for cladding a metal part of an aircraft turbojet, including a plurality of metal portions, using a nozzle for emitting a laser beam, the process including positioning the metal part to be cladded on a turntable; positioning a cover on the turntable; positioning the nozzle in an aperture present in the cover; introducing an inert gas under the cover; and cladding a first portion of the metal part by carrying out operations of: spraying metal powders; emitting the laser beam; and moving the nozzle relative to the first metal portion.",B23K
"Chuck body, machine center, and method for gripping a work object to be processed","A chuck body includes a base, a fixed gripper finger, a cylinder mount, a slide, and a movable gripper finger. The base includes a planar member. The fixed gripper finger is fixedly provided on the planar member at a position spaced from a longitudinal end of the planar member. The cylinder mount is mounted on the planar member, and includes a cylinder and a linear actuator operably engaging the cylinder to linearly move the cylinder in a longitudinal direction of the planar member toward and away from the fixed gripper finger. The slide is secured to a distal end of the cylinder and is integrally movable with the cylinder. The movable gripper finger is secured to the slide and positioned to cooperate with the fixed gripper finger to grip an associated work object when moved toward the fixed gripper finger by the linear actuator.",B23Q
"Arc welding apparatus, arc welding system, and arc welding method","An arc welding apparatus includes: a welding-condition acquirer configured to acquire a welding condition; a heat-input calculator configured to calculate a required heat input corresponding to the welding condition; a frequency setter configured to set a smaller frequency for a short circuit condition and an arc condition corresponding to an increase in the required heat input; and a driver configured to repeatedly perform a process at the frequency, the process including advancing and retreating a welding consumable with respect to a workpiece to generate the short circuit condition and the arc condition.",B23K
Handheld machine tool having a spindle-locking device,"In a handheld machine tool having a tool housing, in which a drive motor is situated for driving a drive element equipped with at least one clamping surface, to which a spindle-locking device equipped with a blocking element and at least one spindle cylinder is assigned, the at least one spindle cylinder being able to be clamped in a spindle-lock operation of the spindle-locking device between the at least one clamping surface and the blocking element to prevent the drive element from rotating relative to the tool housing, wherein a positioning element associated with the spindle locking device is situated at least in sections on the at least one clamping surface, the positioning element being situated at least partially in the region between the at least one spindle cylinder and the at least one clamping surface.",B23B
Management system,"Guide system for portable machine tools (12a), in particular hand-held machine tool linear guide system, with at least one guide device (14a; 14b; 14c) which can be fixed to a portable machine tool (12a), the guide device (14a; 14b; 14c) can be arranged in at least one operating state on a side of a support unit (52a) of the portable machine tool (12a) facing away from a machine tool housing (56a) of the portable machine tool (12a), with at least one forced guidance unit (16a; 16b; 16c) with which the The guide device (14a; 14b; 14c) can be positively connected to positively guide the portable machine tool (12a), and with at least one position fixing unit (18a; 18b; 18c) to fix a position of the guide device (14a; 14b; 14c) on the forced guidance unit (16a; 16b; 16c), the position fixing unit (18a; 18b; 18c) at least one fastening unit (20a; 20b; 20c) to a detachable Fixing the position fixing unit (18a; 18b; 18c) on the guide device (14a; 14b; 14c), the position fixing unit (18a; 18b; 18c) after a connection between the fastening unit (20a; 20b; 20c) and the guide device (14a; 14b; 14c) can be removed as a whole from the guide device (14a; 14b; 14c), characterized in that the fastening unit (20a; 20b; 20c) has at least one coupling element (22a, 24a; 22b; 22c, 24c), by means of which the position fixing unit (18a; 18b; 18c) can be fastened to the guide device (14a; 14b; 14c) in a form-fitting and / or force-fitting manner, the fastening unit (20a; 20b; 20c) at least one coupling element (22a , 24a; 22b; 22c, 24c), which cooperates with a counter-coupling element (26a, 28a; 26b; 26c, 28c) of the guide device (14a; 14b; 14c) to fasten the position fixing unit (18a; 18b; 18c).",B23Q
Systems and methods for pairing of wireless control devices with a welding power supply,"Embodiments described herein include wireless control of a welding power supply via portable electronic devices. In particular, operating parameters and statuses of the welding power supply may be modified by the portable electronic device, as well as be displayed on the portable electronic device. For example, in certain embodiments, the welding power supply may be an engine-driven welding power supply, and the portable electronic device may be configured to start and/or stop an engine of the engine-driven welding power supply. A pairing procedure may be used to pair the welding power supply and the portable electronic device in a wireless communication network. Furthermore, in certain embodiments, a method of prioritization of control between a control panel of the welding power supply and the portable electronic device may be implemented.",B23K
Case for a communication device,"Some embodiments disclosed herein relate to a case for a communication device, having two or more portions movable with respect to each other. A first case portion may cover a particular component or area of the communication device. Accessories or auxiliary structures may be available for use with the particular component, and may be configured to attach to or be used with a communication device housing of a particular size or shape. The first case portion may be moved relative to a second case portion, thereby exposing the component or area of the communication device for use with the accessory. Additional embodiments disclosed herein related to modular components that may be used with cases in order to provide various accessories and features, such as mounts, flashes, batteries, and the like.",B23P
Encoder with accuracy correction function,"An encoder ( 1) having a body to be measured (30) and a measuring body (10) includes an analog-digital converter (21) converting, to a digital signal, a sinusoidal analog signal generated by a detection unit (11) and has different phases, a storage unit (22) storing correction data for aperiodic error components among periodic and aperiodic error components included in errors of position data, an aperiodic error correction unit (23) correcting the aperiodic error components among errors in the position data by using the correction data, and a periodic error correction unit (24) correcting the periodic error components among the errors in the position data.",B23Q
hand tool with spindle locking device,"The invention relates to a hand tool which has a tool housing in the tool housing is provided with a driving motor for driving element (120) driving at least one clamping surface (236); main shaft locking device (250) to said driving element is equipped with locking piece (256) and at least one main shaft roller (254), wherein said at least one main roller (254) is capable of locking operation of the main shaft of the main shaft locking device (250) is clamped between the at least one clamping surface (236) and the lock piece (256); so as to prevent the drive element (120) relative to the tool housing to rotate, the main shaft locking device (250) has a loading element (220), the loading structure for, taking the pre-given force towards the direction of said at least one clamping surface (236) loading the at least one main shaft roller (254).",B23B
Weld bank data structures for welding applications,"A data structure for weld programs associates configuration data for a welding system with a plurality of weld programs and weld sequence data. The data structure allows the welding system to be configured for a particular part, operator, or stage in a welding process, and to be easily reconfigured when the part, operator, or stage changes, providing improved efficiency and flexibility in operation.",B23K
Systems and methods for providing location services for a welding power supply,"Embodiments described herein include wireless control of a welding power supply via portable electronic devices, such as dedicated original equipment manufacturer (OEM) welding remote devices, cellular radio telephones, satellite radio telephones, laptops computers, tablet computers, and so forth. In particular, operating parameters and statuses of the welding power supply may be modified by the portable electronic device, as well as be displayed on the portable electronic device. A pairing procedure may be used to pair the welding power supply and the portable electronic device in a wireless communication network. Furthermore, in certain embodiments, a method of providing location services for the welding power supply includes utilizing location data for the portable electronic device controlling the welding power supply as an approximation for the location of the welding power supply.",B23K
Methods and apparatus for construction of machine tools,"Cement or other liquid-like material fills the hollow tubes of a machine tool under construction. The machine tool structures are held rigidly against a fixture while the substance dries. The machine tool so constructed is relatively lightweight and rigid, and obviates the need for precision machining of large portions of the apparatus.",B23Q
Power tool gear device,"A power tool gear device has at least one first and one second gear stage, and a switching element which may be moved by an operator using an actuating element. The switching element at least partially surrounds at least one gear stage in at least one operating position along a circumferential direction and is configured to switch between a first and a second operating position. The switching element includes at least one first component and one second component.",B23B
Spindle condition detection device for machine tool,"A spindle condition detection device for a machine tool includes: bearing load detecting means for detecting a load on a bearing that rotatably supports a spindle of a machine tool; and present usage ratio calculating means for calculating, based on the load detected by the bearing load detecting means, a present usage ratio that is a ratio of usage of the bearing with respect to a prescribed operating life of the bearing, which is achieved over a period until a present moment.",B23Q
WIRELESS COMMUNICATION NETWORK FOR CONTROL OF INDUSTRIAL EQUIPMENT IN HARSH ENVIRONMENTS,"In certain embodiments, a system includes a master node device. The master node device includes communication circuitry configured to facilitate communication with a welding power supply unit via a long-range communication link, and to facilitate wireless communication with one or more welding-related devices via a short-range wireless communication network.",B23K
Compensating chuck,"A compensating chuck for concentrically clamping workpieces. The chuck has a drive unit having two pairs of entrainment members, wherein the entrainment members are preferably slidingly mounted, are respectively movable in paired relationship, and are so coupled to a respective one of the main jaws that a relative movement of a respective pair causes a synchronous movement of adjacent main jaws and that both a relative movement relative to each other with respectively different movement components and also a synchronous movement of the adjacent entrainment members in the same direction respectively causes a relative movement of adjacent main jaws.",B23B
Machine tool,"A machine tool includes a movement device, which has a first feed shaft and a second feed shaft that mutually intersect, and a plurality of tools, which are driven by the movement device and respective blade edges of which are staggered stepwise. The blade edges of the tools are aligned with the second axis due to the inclination of the tools as a unit. The machine tool is capable of executing center level adjustment of a plurality of tools mounted on a tool post against a workpiece having a larger diameter, and is also capable of reducing wasted time in non-cutting operation via equal stroke lengths of the tools.",B23B
Device forming a workpiece clamp,"A device forming a clamping pad includes a body ( 1) presenting a first face (1a) to be secured by suction to a worktable (T) and a second face (1b) to be secured by suction to a workpiece (P). The body (1) contains elements for generating suction, which elements are linked to the first face (1a) to be secured to the worktable (T) and to the second face (1b) to be secured to a workpiece (P). The device is applicable to double-sided clamping of workpieces (P) with a view to treating them or to working on them.",B23Q
Apparatus and method for providing feedback force and machine tool system,"An apparatus for providing a feedback force includes a calculating unit and a force feedback displacement controller. The calculating unit receives relative position information of a first object and a second object and geometric information of the first object and the second object. If the first object and the second object are not in contact, the calculating unit calculates a force feedback value based on the relative position information and the geometric information. The force feedback displacement controller outputs a displacement command, and receives the force feedback value. The displacement command allows the first object to move with respect to the second object. The force feedback displacement controller includes a displacement unit that generates the displacement command based on an operation of a user, and a force feedback unit that provides a feedback force to the displacement unit based on the force feedback value.",B23Q
Geometric error identification method of multi-axis machine tool and multi-axis machine tool,"A geometric error identification method of multi-axis machine tool includes a measuring step of indexing a position of a target ball mounted on one of a main spindle and a table into a plurality of angles around an rotation axis, and measuring the position of the target ball at respective indexed positions by using a touch probe mounted on the other one of the main spindle and the table, a geometric error calculation step of calculating a geometric error from the measured position of the target ball, an ellipse-expression calculation step of calculating an ellipse approximate expression by an arc trajectory measured by operating the rotation axis, and an error correcting step of calculating and correcting a scaling error of translation axes from the calculated ellipse approximate expression.",B23Q
APPARATUS AND METHOD FOR AUTOMATICALLY DETECTING AND COMPENSATING FOR A BACKLASH OF A MACHINE TOOL,"According to the present invention, a torque variation of a servomotor 11, which is measured in a numerical control (NC) apparatus of an existing numerical control (NC) machine tool, is observed, and a backlash is detected by calculating a transfer distance of an output shaft 11a of the servomotor 11 at a torque peak, without adding additional positioning detection equipment, thereby detecting an accurate backlash amount without adding additional equipment.",B23Q
"Object fastening device for fastening object to receiving part, machine tool, robot, and method of fastening object to receiving part","An object fastening device which can prevent foreign matter from ending up damaging an object when confirming the object is properly seated, which object fastening device is provided with a receiving part, a pushing part which pushes the object against the receiving part, a first drive part which makes the pushing part generate a first force, a second drive part which is provided separate from the first drive part and makes the pushing part generate a second force which is smaller than the first force, and a foreign matter detecting part which detects foreign matter which is interposed between the object and receiving part while the second drive part is being used to cause the pushing part to push the object against the receiving part.",B23Q
Machine tool,"A machine tool, in particular an angle grinder, includes at least one switching unit that has at least one movably mounted ratchet element and at least one release element for unlocking a movement preventer of the ratchet element. The release element has at least one actuating region that is at least partially arranged laterally alongside an operating area of the ratchet element.",B23Q
Dynamic characteristic calculation apparatus and its method for machine tool,"A dynamic characteristic calculation apparatus for a machine tool calculates dynamic characteristic of the machine tool executing an interrupted machining by moving a rotational tool relative to a workpiece. The apparatus includes a detector detecting acoustic wave generated by vibration of the rotational tool or detecting magnetic property being variable by the vibration of the rotational tool where said rotational tool is excited to vibrate, and a calculation division calculating a natural frequency f of the one or plural tool tips in a vibration system, in which the one or plural tool tips of said rotational tool is a vibration body, on a basis of a value detected by the detector.",B23Q
Modular railing systems with cellular PVC panels,"The present invention relates to the field of railing and fencing systems. More particularly, embodiments of the present invention relate to modular railing/fencing systems comprising extruded aluminum railings with cellular polyvinyl chloride (PVC) panel inserts having an impact resistance of up to about 350 lb/ft 2, which combined provide a system capable of withstanding significant external forces. Particular embodiments of the invention include modular fencing systems comprising: a) one or more upright vertical post members; b) upper and lower horizontal guardrails with a longitudinal panel-receiving channel; c) one or more cellular polyvinyl chloride (PVC) panel inserts operably configured for insertion in the panel-receiving channels of the upper and lower guardrails; d) wherein, upon installation, the system is capable of receiving a load normal to the panel ranging from about 180 to about 360 lb/ft2 without failure. Cellular PVC panels for use in such systems are also included.",B23P
Reduced energy welding system and method,"A welding regime may implements cyclic short circuits under a closed loop voltage control approach. Upon clearing or imminent clearing of the short circuit, a current recess is implemented. The current recess reduces the current that would otherwise be applied to the weld, resulting in multiple benefits. The recess may be implemented by suspending voltage command signals. Following the current recess, normal control is resumed with the then-current voltage command.",B23K
Pallet transport system of machine tool,"A pallet transport system of a machine tool promoting transport of a pallet for workpiece mounting use from a first stand to an adjoining second stand, wherein the first stand has a first mounting part which defines a first mounting surface, the second stand has a second mounting part which defines a second mounting surface, and the pallet has a mounted part attachable to the first and second mounting parts, along a transport direction of the pallet, includes a support mechanism turnably supporting at least one of the first stand, the second stand, and the pallet so that the orientations of a mounted surface defined by the mounted part and the second mounting surface match due to contact force between the mounted part and the second mounting part along with transport of the pallet from the first stand to the second stand along the first mounting surface.",B23Q
Combustion chamber tile of a gas turbine and method for its manufacture,"The present invention relates to a combustion chamber tile of a gas turbine, where the combustion chamber tile has a plurality of effusion cooling holes and a mixing air hole provided as a flow-guiding element (chute) and projecting over the surface of the combustion chamber tile, characterized in that on the side of the mixing air hole facing away from a flow along the combustion chamber tile at least one supporting element is arranged on the combustion chamber tile and on the mixing air hole. It also relates to a method for its manufacture.",B23B
Induction coil unit,"The induction coil unit for heating a component which is rotationally symmetrical relative to an axis, includes a plurality of coils arranged about the axis of the tool holder, with pole elements, which are movable radially with respect to the axis, of which pole elements each one consists of includes a stack of pole rods that can be moved relative to one another. A yoke ring connects the pole elements, which, when the coils are excited by alternating current in the tool holder, produce a magnetic flux running in the peripheral direction to inductively heat the tool holder. The pole rods of each pole element can be moved jointly by means of pinion rollers, wherein, however, slide couplings or the like are provided in the drive force transmission path between the individual pole rods so that the pole elements can adapt to different contours of the tool holder.",B23B
Apparatus for changing area ratio in a plasma processing system,"A plasma processing system has an upper electrode and a lower electrode. The upper electrode includes a first and a second upper electrode portions. The first upper electrode portion annularly surrounds the second upper electrode portion. The lower electrode includes a first and a second lower electrode portions, and the first lower electrode portion annularly surrounds the second lower electrode portion. A radio frequency (RF) power source provides RF energy to the second lower electrode portion. The lower surface of the first upper electrode portion is non-planar with a substrate-facing surface of the second upper electrode portion such that the first gap between the lower surface of the first upper electrode portion and the upper surface of the first lower electrode portion is smaller than the second gap between the substrate bearing surface of the second lower electrode portion and the substrate-facing surface of the second upper electrode portion.",B23K
MACHINE TOOL THAT CAN BE GUIDED MANUALLY AND HAVING A HOUSING,"The invention relates to a machine tool that can be guided manually and has an outer housing extending substantially along a longitudinal axis, which has a grip region which is provided for engaging and for guiding the machine tool by means of a hand of a user, comprising an electrical drive unit accommodated in said outer housing and a tool unit that is substantially mechanically uncoupled relative to the outer housing. The outer housing has a centre of mass that, with respect to the length of the outer housing, is arranged along the longitudinal axis in a section that extends toward the rear from the geometric centre of the outer housing.",B23Q
Tool changing system and method,"A method, non-transitory computer-readable storage medium, and tool changing system for changing tools on a machine. The tool changing system includes a tool magazine, a tool transporter, and an automatic tool changer (ATC). The ATC includes a tool holder and a tool changer. The tool magazine is configured to store at least one tool received at the tool loading station. The tool transporter is configured to transport a tool from the tool loading station or the tool magazine to a tool transfer position of the ATC, and to hold the tool at the tool transfer position during an automatic tool change process. The tool holder is configured to hold the tool at the tool transfer position during the automatic tool change process when the tool transporter is not positioned at the tool transfer position. The tool changer is configured to provide the tool at the tool transfer position to a tool change position of a machine during the automatic tool change process.",B23Q
"METHOD OF PRODUCING A GUIDE BEVEL ON A WORKPIECE, IN PARTICULAR ON A CUTTING TOOL, USING CNC-CONTROLLED LASER AND CLAMPING DEVICES","The invention relates to a method for producing a guide bevel on a workpiece, in particular a cutting tool. The workpiece to be machined is clamped in a clamping device which is rotationally driven about a rotational axis, and at least one laser unit is provided. The clamping device and the laser unit can be moved relative to each other by means of at least one CNC-controlled axis. The laser unit is of a type that is suitable for machining the workpiece by removing material. In order to produce the guide bevel, the laser unit and the clamping device are controlled such that the workpiece in the clamping device is continuously rotated about the rotational axis of the clamping device at least by a specified angular amount while the laser unit and the clamping device are moved relative to each other at least by a specified distance in order to remove material from the workpiece so as to produce the guide bevel.",B23B
Electric machine tool and method for controlling the electric machine tool,"In a method for controlling an electric machine tool having an electric motor for driving a rotating insertion tool, the electric machine tool is operated in one of multiple operating modes, and at least one parameter of the machine tool is detected. The instantaneous operating state of the electric machine tool is ascertained and evaluated based on the detected parameter. A protective function is activated when the presence of a critical operating situation is recognized during the evaluation of the instantaneous operating state. The instantaneous operating mode of the electric machine tool is detected, and the evaluation of the instantaneous operating state is adapted in each case to the instantaneous operating mode.",B23Q
"Computer-implemented method and system for machine tool damage assessment, prediction, and planning in manufacturing shop floor","A self-aware machine platform is implemented through analyzing operational data of machining tools to achieve machine tool damage assessment, prediction and planning in manufacturing shop floor. Machining processes are first identified by matching similar processes through an ICP algorithm. Machining processes are further clustered by Hotelling's T-squared statistics. Degradation of the machining tool is detected through a trend of the operational data within a cluster of machining processes by a monotonicity test, and the remaining useful life of the machining tool is predicted through a particle filter by extrapolating the trend under a first-order Markov process. In addition, process anomalies across machines are detected through a combination of outlier detection methods including SOMs, multivariate regression, and robust Mahalanobis distance. Warnings and recommendations are flexibly provided to manufacturing shop floor based on policy choice.",B23Q
"Theft-deterrence system for power tool system, and adapter and method therefor","A power tool system includes a hand-held power tool having a motor or a solenoid that drives a tool, and a first memory that stores at least one pass code. A battery pack is detachably attached to, and supplies current to, the power tool and has a second memory that stores at least one pass code. An electronically-actuatable lock and a first controller are provided in the power tool and/or in the battery pack. The first controller reads the pass codes from the first and second memories when the battery pack is attached to the power tool, directly compares the pass codes from the first memory and the second memory, and causes the first electronically-actuatable lock to prohibit or impair operation of the power tool when the pass codes do not match or otherwise correspond in a predetermined manner.",B23Q
Welding system with multiple user interface modules,"A welding system user interface module includes a front panel comprising a first input device and a first display screen. The welding system user interface module also includes circuitry comprising a memory storing machine-readable instructions, a processor for executing the machine-readable instructions, and communication circuitry configured to receive UI data from the first input device or a second input device of a remote welding system user interface module, and to broadcast synchronized data to the first display screen and a second display screen of the remote welding system user interface module.",B23K
Rotary cutting tool,"A rotary cutting tool has a cutting tool body with a cutting end and a cutting portion adjacent to the cutting end. The cutting portion includes a first blade, which has a first finishing cutting portion and a first roughing cutting portion adjacent to the first finishing cutting portion. The cutting portion includes a second blade, which has a second finishing cutting portion and a second roughing cutting portion adjacent to the second finishing cutting portion. The first finishing cutting portion overlaps one or both of the second finishing cutting portion and the second roughing cutting portion. The first roughing cutting portion overlaps one or both of the second roughing cutting portion and the second finishing portion.",B23B
System for continuous laser beam monitoring and analysis,"A system for continuously monitoring a laser beam includes a photodiode sensor mounted adjacent to a laser beam optical path. A laser beam optical path analysis module connected to the photodiode sensor and adapted to receive, analyze and report the sensor output from the photodiode sensor.",B23K
HVAC system and method of operation,"An improved, energy-efficient HVAC system and method of use employing a solution that is run parallel to refrigerant lines in a chiller unit. The solution is directed through the chiller unit through its proximity to chilled refrigerant wherein the chilled solution, rather than refrigerant, enters an air handler or an air pump and used to adjust the air temperature to a desired level. The system and method permits the place of a refrigerant based system external an enclosed building and a non refrigerant based system position internal the enclosed building.",B23P
System and method for providing tools on a machine tool and machine tool having a tool change system,"The present invention relates to a system, an apparatus and a method for providing tools on a machine tool. The system includes a first tool magazine for accommodating a plurality of tools; a first feeding device which is adapted to remove tools from the first tool magazine and feed them to the spindle; at least one second tool magazine for accommodating a plurality of tools; a second feeding device which is adapted to remove tools from the second tool magazine and provide them at a predetermined transfer position; and a transfer apparatus which is adapted to feed tools removed from the second tool magazine to the first tool magazine, with the result that the second tool magazine serves as a supply magazine for the first tool magazine.",B23Q
CNC machine thermal growth characterization and thermal compensation correction,"In at least one embodiment, a method of analyzing and characterizing the thermal growth of a CNC machine is provided. The method may include mounting an artifact having a bore onto a CNC machine and performing a test cycle. The test cycle may include probing the bore of the artifact to determine its location relative to the CNC machine and performing a dry cycle including one or more CNC machining processes. The method may further include calculating a deviation of the bore location from a reference relative location between the bore and CNC machine. The method may be used to improve, troubleshoot, or assess the effectiveness of CNC machine thermal compensation mechanisms. The method may start at ambient temperature and include repeating test cycles until a steady state temperature is reached in the machine.",B23Q
Low profile rotating control device,"A system and method is provided for a low profile rotating control device (LP-RCD) and its housing mounted on or integral with an annular blowout preventer seal, casing, or other housing. The LP-RCD and LP-RCD housing can fit within a limited space available on drilling rigs. An embodiment allows a LP-RCD to be removably disposed with a LP-RCD housing by rotating a bearing assembly rotating plate. A sealing element may be removably disposed with the LP-RCD bearing assembly by rotating a seal retainer ring. Alternatively, a sealing element may be removably disposed with the LP-RCD bearing assembly with a seal support member threadedly attached with the LP-RCD bearing assembly. The seal support member may be locked in position with a seal locking ring removably attached with threads with the LP-RCD bearing assembly over the seal support member. Spaced apart accumulators may be disposed radially outward of the bearings in the bearing assembly to provide self lubrication to the bearings.",B23P
VOLTAGE SENSING WIRE FEEDER WITH WELD PROCEDURE MEMORIES,"The voltage sense wire feeder includes a storage device and a user interface. The user interface is configured to receive a first selection and a second selection. The first selection is configured to direct the voltage sensing wire supply to use the first setting group stored in the storage device, and the second selection causes the voltage sensing wire supply to use the second setting group stored in the storage device. Is configured to instruct to use.",B23K
Hand-power tool with an oscillation-damping device,"A hand-power tool includes at least one oscillation-damping device that has at least one damping spring, a damping mass, and a mechanism housing. The oscillation-damping device has at least two retaining parts that at least partly enclose the damping mass.",B23B
Tool changing method and machine tool,"A machine tool includes a rotatable spindle, a spindle drive, a tool magazine, a tool changer including a rotating shaft, a rotating shaft drive motor, an angular position detector, a tool change arm having gripping units at both ends, and a controller. After interchanging a first tool mounted on the spindle and a second tool held in a tool pot, when rotating the tool change arm to an intermediate position, rotation of the spindle is started as soon as the second tool mounted on the spindle and the gripping unit are out of contact with each other.",B23Q
TOOL-CHANGING CARRIER AND TOOL SYSTEM,"A tool-changing carrier, that is to say a tool turret (1) with a rotary turret unit having at least two tool mounts (9) and arranged such that it can be rotated relative to a basic turret body (12), has radiation-transmission means which are provided for passing electromagnetic radiation through the tool-changing carrier or along the same. A tool system comprises such a tool-changing carrier and at least two tool heads (3, 5, 15, 17, 18, 27, 34, 40, 43), intended for fixing on the tool mounts (9), wherein at least one tool head is an optical tool head (3, 15, 17, 18) which is suitable for exposing a workpiece (11) to electromagnetic radiation and has a tool optics unit (23) for deflecting and/or forming the electromagnetic radiation.",B23B
Servo control device with coarse and fine movement,A servo control device includes a coarse-movement reference model unit calculating a coarse-movement model position by performing predetermined filter computation based on a position command; a coarse-movement follow-up control unit controlling the coarse-movement shaft motor such that a coarse-movement-shaft motor position follows the coarse-movement model position based on the coarse-movement-shaft motor position provided from the coarse-movement shaft motor and the coarse-movement model position; an integrated reference model unit calculating an integrated model position by performing predetermined filter computation based on a position command; and a fine-movement follow-up control unit controlling the fine-movement shaft motor such that a fine-movement-shaft motor position follows a fine-movement model position based on the fine-movement-shaft motor position provided from the fine-movement shaft motor and the fine-movement model position obtained from the integrated model position and the coarse-movement model position.,B23Q
